topic,ques,options,type,ans,img,pageUrl,ans_detail
medieval indian history,"Which one of the following books is the official History of Revolt of 1857 published by publication division ,Ministry of Information and broadcasting ,Government of India?","[""Eighteen Fifty Seven"",""Theories of Indian Mutiny"",""The Sepoy Mutiny and the Revolt of 1857"",""None of the above""]",multiple choice,Eighteen Fifty Seven,,https://www.gktoday.in/quizbase/medieval-indian-history,"Notes:Eighteen Fifty Seven was written by well known Indian Historian Dr. Surendra Nath Sen ,with a foreword by Maulana Azad. It was published on May 1957 by the publication division, Ministry of Information and broadcasting, Government of India."
medieval indian history,"Out of Capital of Akbar’s Kingdom, Buland Darwaja , Panch Mahal and Akbar’s Mausoleum , which are located at the same place?","[""Panch Mahal and Akbar’s Mausoleum"",""Buland Darwaja , Panch Mahal and Akbar’s Mausoleum"",""Capital of Akbar’s Kingdom, Buland Darwaja , Panch Mahal"",""Capital of Akbar’s Kingdom and Akbar’s Mausoleum""]",multiple choice,"Capital of Akbar’s Kingdom, Buland Darwaja , Panch Mahal",,https://www.gktoday.in/quizbase/medieval-indian-history,"Notes:Capital of Akbar Kingdom, Buland Darwaja , Panch Mahal  (all fatehpur sikri ) mausoleum at Sikandara"
medieval indian history,Who built the tomb of itmad ud daula?,"[""Jahanagir"",""Nur Jahan"",""Shershah"",""Akbar""]",multiple choice,Nur Jahan,,https://www.gktoday.in/quizbase/medieval-indian-history,Notes:The Tomb of Itimad-Ud-Daula was constructed by the Mughal queen Nur Jahan. IT was constructed between 1622 and 1628 where her father Itimad Ud Daula was buried.
medieval indian history,In which of the following forts Jahanagir Mahal is located ?,"[""Lahore Fort"",""Agra Fort"",""Red Fort"",""Golconda Fort""]",multiple choice,Agra Fort,,https://www.gktoday.in/quizbase/medieval-indian-history,"Notes:Jahangir Mahal is located In Agra fort , built by Akbar in Hindu Design and was used by the Rajput wives of Akba"
medieval indian history,Sakambhari near Ajmer is a place related to emergence of which of the following dynasties?,"[""Gahadwals"",""Parmaras"",""Pratiharas"",""Chauhanas""]",multiple choice,Chauhanas,,https://www.gktoday.in/quizbase/medieval-indian-history,Notes:Sakambhari near Ajmer is a place related to emergence of Chauhanas. They ruled parts of the present-day Rajasthan and its neighbouring areas between 6th and 12th centuries.
medieval indian history,"Which of the following Mughal Emperors shifted his imperial court and residence from Agra to Sikri, later renamed as Fatehpur Sikri?","[""Akbar"",""Jahangir"",""Shahjahan"",""Aurangzeb""]",multiple choice,Akbar,,https://www.gktoday.in/quizbase/medieval-indian-history,"Notes:Akbar is the Mughal emperor who shifted his imperial court and residence deom Agra to Sikri. Fatehpur Sikri is a town in the Agra District of Uttar Pradesh, India. The city itself was founded as the capital of Mughal Empire in 1571 by Emperor Akbar."
medieval indian history,Mirza Ghalib was a contemporary of which among the following Mughal Emperors?,"[""Alamgir II"",""Muhammad Shah"",""Bahadur Shah Zafar"",""Farrukhsiyar""]",multiple choice,Bahadur Shah Zafar,,https://www.gktoday.in/quizbase/medieval-indian-history,Notes:Mirza Ghalib was a prominent Urdu and Persian poet. He served during the last years of the Mughal Empire. He was contemporary of Bahadur Shah Zafar.
environment ecology biodiversity mcqs,The Gajner Wildlife Sanctuary (GWS) is located in which state?,"[""Gujarat"",""Uttar Pradesh"",""Rajasthan"",""Madhya Pradesh""]",multiple choice,Rajasthan,,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,"Notes:The Gajner Wildlife Sanctuary (GWS) is located at a distance of about 32.0 km from Bikaner in Rajasthan. There is a lake in this sanctuary and a variety of animals come here to quench their thirst in summer. It is a lush green forest which is a haven to the nilgai, chinkara, black buck, wild boar, flocks of imperial sand grouse and many other species of migratory birds that make the sprawling forest their winter home. This is one of the proposed forests for the reintroduction of cheetahs in India."
environment ecology biodiversity mcqs,"Eutrophication is due to lack of oxygen and severe reductions in water quality, fish, and other animal populations which ultimately destroys the particular ecosystem","[""Increased pollution in water bodies"",""Increased chemical nutrients and compounds containing nitrogen or phosphorus"",""increased microbes and parasitic organism in stagnant water"",""None of the above""]",multiple choice,Increased chemical nutrients and compounds containing nitrogen or phosphorus,,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,Notes:Eutrophication is when a body of water becomes overly enriched with minerals and nutrients which impetus to excessive growth of algae. It causes oxygen depletion of the water body. Due to this problem algal bloom occurs which is the increase of phytoplankton.
environment ecology biodiversity mcqs,Many a times we read in the newspapers about Clean Development Mechanism,"[""It allows industrialized countries with a greenhouse gas reduction commitment to invest in projects that reduce emissions in developing countries as an alternative to more expensive emission reductions in their own countries"",""The CDM allows net global greenhouse gas emissions to be reduced at a much lower global cost by financing emissions reduction projects in developing countries where costs are lower than in industrialized countries"",""It is an arrangement under Geneva Protocol"",""It is an arrangement under Kyoto Protocol""]",multiple choice,It is an arrangement under Geneva Protocol,,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,Notes:The Clean Development Mechanism was defined in the Kyoto Protocol which provides for emissions reduction projects. It allows industrialized countries with a greenhouse gas reduction commitment to invest in projects that reduce emissions in developing countries as an alternative to more expensive emission reductions in their own countries. The CDM allows net global greenhouse gas emissions to be reduced at a much lower global cost by financing emissions reduction projects in developing countries where costs are lower than in industrialized countries.
environment ecology biodiversity mcqs,Who heads the National Disaster Management Authority in India?,"[""Home Minister of India"",""Prime Minister of India"",""Prime Minister of India"",""President of India""]",multiple choice,Prime Minister of India,,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,"Notes:The Disaster Management Act, 2005 received the Presidential assent on 23 December, 2005. It envisaged the creation of the National Disaster Management Authority with not more than nine members (including a Vice-Chairperson) and the Prime Minister of India as its chairperson."
environment ecology biodiversity mcqs,"With which among the following subjects, the Agenda 21 , that came out of Earth Summit 1992 , explicitly deals with ?","[""Green House Gases"",""Climate Changes"",""Sustainability"",""Ozone Layer Protection""]",multiple choice,Sustainability,,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,"Notes:Agenda 21 is yet another outcome of the 1992 Earth Summit. It is the “Voluntary” action plan of the United Nations (UN) related to sustainable development. This 40 point document was a comprehensive blueprint of action to be taken globally, nationally and locally by organizations of the UN, governments, and major groups in every area in which humans directly affect the environment."
environment ecology biodiversity mcqs,Which Green House Gas is created by the accumulated Waste Water?,"[""Nitrogen"",""Sulfur Dioxide"",""Methane"",""Carbon Dioxide""]",multiple choice,Methane,,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,Notes:Methane gas is produced by the decomposition of organic waste in an oxygen-free environment. The treatment and handling of waste water also produces Methane.
environment ecology biodiversity mcqs,The Ozone Day is observed in memory of signing of which of the following protocols?,"[""Montreal Protocol"",""Geneva Protocol"",""Kyoto Protocol"",""Nagoya Protocol""]",multiple choice,Montreal Protocol,,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,Notes:The Montreal Protocol on Substances that Deplete the Ozone Layer was an international treaty which was organized in 1987. The UN General Assembly celebrate 16th September in memory of the date in 1987 when nations inked the Montreal Protocol.
environment ecology biodiversity mcqs,The ‘Montreaux Record’ is a register of:,"[""Invasive Alien Species and their ecological hazards outside their native environment."",""Wetland sites under the threat of anthropogenic activities."",""Endangered species of tropical and sub-tropical fauna"",""Coastal cities under direct threat of consequences of global warming.""]",multiple choice,Wetland sites under the threat of anthropogenic activities.,,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,Notes:The Montreux Record is a register of wetland sites under the threat of anthropogenic activities (on the List of Ramsar wetlands of international importance). Presently 48 sites are listed in Montreux Record.
environment ecology biodiversity mcqs,Consider the following statements about National Disaster Management Authority (NDMA):It is an agency of the Ministry of Home AffairsThe Prime Minister is the ex-officio chairperson of NDMA Which of the above statements is/are correct?,"[""Only 1"",""Only 2"",""Both 1 &amp; 2"",""Neither 1 nor 2""]",multiple choice,Both 1 & 2,,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,Notes:National Disaster Management Authority (NDMA) is an agency of the Ministry of Home Affairs whose primary purpose is to coordinate response to natural or man-made disasters and for capacity-building in disaster resiliency and crisis response. The Prime Minister is the ex-officio chairperson of NDMA.
environment ecology biodiversity mcqs,Consider the following:Albedo effectAerosols in atmosphereWater vapour Which of the above has/have contributed to Global Warming?,"[""2 Only"",""1 &amp; 3 Only"",""2 &amp; 3 Only"",""1, 2 &amp; 3""]",multiple choice,"1, 2 & 3",,https://www.gktoday.in/quizbase/environment-ecology-biodiversity-mcqs,Notes:All three are major contributors to Global Warming.
ancient indian history multiple choice questions,"During the reign of which Kushana king, the Fourth Buddhist Council was held?","[""Kanishka"",""Huvishka"",""Vasudeva"",""Vasishka""]",multiple choice,Kanishka,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,"Notes: The Fourth Buddhist Council was held at Kundalvana, Kashmir in 72 AD during the reign of Kushan king Kanishka. It was held under the Presidentship of Vasumitra to compose commentaries on the Tripitika."
ancient indian history multiple choice questions,In which rock edict Ashoka mentioned “Every Human is my child…”?,"[""Major Rock Edict V"",""Major Rock Edict IV"",""Major Rock Edict VI"",""Major Rock Edict VII""]",multiple choice,Major Rock Edict V,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,"Notes: In the major Rock Edict V, Ashoka mentioned “Every Human is my child”. He had concerns about the policy towards slaves. This rock edict also referes to the appointment of Dhamma-mahamatta for the first time in the twelfth year of his reign."
ancient indian history multiple choice questions,"In the Maurya empire, who was the superintendent of Ports ?","[""Pattanadhyaksha"",""Manadhyaksha"",""Kosadhyaksha"",""Ganikadhyaksha""]",multiple choice,Pattanadhyaksha,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,"Notes: As per the officials mentioned in the Arthashastra, Pattanadhyaksha was the superintendent of Ports."
ancient indian history multiple choice questions,"In which state of India, the first Paleolithic site was discovered?","[""Jammu &amp; Kashmir"",""Rajasthan"",""Madhya Pradesh"",""Karnataka""]",multiple choice,Karnataka,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,Notes: The first evidence of the Stone Age culture in India surfaced in Karnataka as early as in 1842 when Dr. Primrose discovered polished stone knives and arrow heads at Lingsugur in Raichur district of Karnataka.
ancient indian history multiple choice questions,"“Revere all the Buddhas, revere the dharma, revere the sangha” Which among the following quotes this _________?","[""Allahabad Pillar Inscription"",""Asoka Edict XII"",""Asoka Edict X"",""Mathura Lion capital""]",multiple choice,Mathura Lion capital,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,Notes: Mathura Lion capital will be the correct answer.
ancient indian history multiple choice questions,The place Dharanikota in South India is related to which ancient dynasty?,"[""Chola"",""Satavahana"",""Pandya"",""Chera""]",multiple choice,Satavahana,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,"Notes: Dharanikota is a town near Amaravati in the Guntur district of Andhra Pradesh in India, It is the site of the ancient Dhanyakataka which was the capital of the Satavahana kingdom which ruled in the Deccan around the 1st to 3rd centuries A.D."
ancient indian history multiple choice questions,Who overthrew Saka rulers from India?,"[""Gautami putra Satakarni"",""Kanishka"",""Rudraraman"",""Demetrius""]",multiple choice,Gautami putra Satakarni,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,"Notes: The sakas were finally overthrown by Gautamiputra Satakarni, the ruler of Satavahana dynasty. He killed Saka ruler Nahapana and his governor Rishavadatta and restored his territories."
ancient indian history multiple choice questions,Which of the following passes was used by Sakas to come to India?,"[""Bolan Pass"",""Nathu La Pass"",""Shipki La Pass"",""Bara-lacha la Pass""]",multiple choice,Bolan Pass,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,Notes: The Sakas came to India through the Bolan Pass. They were a Scythian tribe or group of tribes of Iranian origin.
ancient indian history multiple choice questions,Which of the following two towns of Indus valley Civilization were located on the bank of Ghagghar River?,"[""Harappa &amp; Rojari"",""Harappa &amp; Mohen jo Dero"",""Kalibanga and Banwali"",""Rangpur and Surkotda""]",multiple choice,Kalibanga and Banwali,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,
ancient indian history multiple choice questions,Who among the following had written “Rajavalipataka”?,"[""Kalhana"",""Pandit Jonaraja"",""Pandit Shrivara"",""Pandit Prajabhatta""]",multiple choice,Pandit Prajabhatta,,https://www.gktoday.in/quizbase/ancient-indian-history-multiple-choice-questions,
sports gk,Grand Slam is used in which of the following games?,"[""Lawn Tennis"",""Football"",""Badminton"",""none of the above""]",multiple choice,Lawn Tennis,,https://www.gktoday.in/quizbase/sports-gk,"Notes:In tennis, a Grand Slam is the achievement of winning all four major tournaments in the same calendar year. The four major tournaments in tennis are the Australian Open, the French Open, Wimbledon, and the US Open. Winning all four of these tournaments in the same year is considered one of the greatest achievements in the sport, and players who accomplish this feat are considered among the all-time greats of tennis. The term “Grand Slam” is also used to refer to winning all four major tournaments at some point in a player’s career, although this is less commonly referred to as a “career Grand Slam.”"
sports gk,What is the approximate maximum weight of Golf Ball as per Rules of Golf?,"[""20 gms"",""25 gms"",""40 gms"",""45 gms""]",multiple choice,45 gms,,https://www.gktoday.in/quizbase/sports-gk,Notes:1.62 oz which is equivalent to 45.93 gms.
sports gk,What is the other name of Sir Garfield Sobers Trophy?,"[""ICC Cricketer of the Year Awards"",""ICC Test Captain of the Year"",""Spirit of the Cricket Awards"",""Test Player of the Year Award""]",multiple choice,ICC Cricketer of the Year Awards,,https://www.gktoday.in/quizbase/sports-gk,
sports gk,Who among the following players is considered the greatest Hockey players in the history of Hockey and was also offered a senior position in the German Army by Adolf Hitler?,"[""Dhyan Chand"",""Lal Shah Bokhari"",""Kishan Lal"",""Jaipal Singh Munda""]",multiple choice,Dhyan Chand,,https://www.gktoday.in/quizbase/sports-gk,"Notes:Dhyan Chand was an Indian Hockey player and is considered as one of the greatest Hockey player in the history of the sport. He helped India win three Olympic Golds (1928, 1932 and 1936). Swimming Which is the International governing body of Swimming in the world?"
sports gk,Which is the governing body Chess in the world?,"[""World Chess Federation"",""World Chess Association"",""World Chess Organisation"",""Association of World Chess Champions""]",multiple choice,World Chess Federation,,https://www.gktoday.in/quizbase/sports-gk,Notes:World Chess Federation is the governing body of World Chess. It is an international organisation which connects various national chess organisations.
sports gk,How many teams currently participate in the Commonwealth Games?,"[""53"",""62"",""71"",""64""]",multiple choice,71,,https://www.gktoday.in/quizbase/sports-gk,"Notes:There are 53 members of the Commonwealth of Nations. But, 71 teams currently participate in the Commonwealth Games as a number of dependent territories compete under their own flag."
sports gk,Which Indian woman wrestler won a bronze in the Rio Olympics?,"[""Nirmala Devi"",""Gargi Yadav"",""Shakshi Malik"",""Manu Tomar""]",multiple choice,Shakshi Malik,,https://www.gktoday.in/quizbase/sports-gk,"Notes:Shakshi Malik, from Haryana state won a bronze medal in the Rio Olympics. She is the first Indian female wrestler to win a medal in Olympics. She won a bronze medal at Rio Olympics in the 58kg category."
sports gk,Which country is the birthplace of the “Olympic Games”?,"[""Denmark"",""Italy"",""Greece"",""Germany""]",multiple choice,Greece,,https://www.gktoday.in/quizbase/sports-gk,"Notes:The birthplace of the “Olympic Games” is Greece. The creation of modern Olympic Games was inspired by the ancient Olympic Games, held in Olympia, Greece from the 8th century BC to the 4th century AD. Baron Pierre de Coubertin founded the International Olympic Committee (IOC) in 1894, leading to the first modern Games in Athens in 1896."
sports gk,"In which year, the first Youth Olympic Games was held?","[""2002"",""2006"",""2010"",""2014""]",multiple choice,2010,,https://www.gktoday.in/quizbase/sports-gk,"Notes:In the year 2010, the first Youth Olympic Games was held. The Youth Olympic Games is an international multi-sport event organized by the International Olympic Committee. The games are held every four years in summer and winter events consistent with the current Olympic Games format. The first summer version was held in Singapore from 14 to 26 August 2010 while the first winter version was held in Innsbruck, Austria from 13 to 22 January 2012."
sports gk,Who is the first recipient of the “most valuable player (MVP)” award of the Asian Games?,"[""Koji Ito"",""Kosuke Kitajima"",""Park Tae-hwan"",""Lin Dan""]",multiple choice,Koji Ito,,https://www.gktoday.in/quizbase/sports-gk,"Notes:Koji Ito is the first recipient of the “most valuable player (MVP)” award of the Asian Games. The most valuable player (MVP) award was introduced since the 1998 Asian Games in Bangkok, Thailand."
modern indian history freedom struggle,"Which among the following was the first state in India in the pre-independence times, when the compulsory primary education was launched for the first time?","[""Baroda"",""Arcot"",""Coorg"",""Hyderabad""]",multiple choice,Baroda,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,Notes:The first law on compulsory education was introduced by the State of Baroda in 1906.  This law provided for compulsory education for boys and girls in the age groups of 7–12 years and 7–10 years respectively
modern indian history freedom struggle,Who among the following established the Ved Samaj in Madras in 1864?,"[""Keshabchandra Sen"",""Lokhitwadi"",""Shibnath Shastri"",""Debendranath Tagore""]",multiple choice,Keshabchandra Sen,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,Notes:Reform in Southern India Brahmo Samaj under the leadership of Keshabchandra Sen made its appearance in 1864 in Madras with the name Ved Samaj.
modern indian history freedom struggle,The resolution of Swadeshi was adopted in which session of Congress?,"[""Madras session of 1903"",""Bombay session of 1904"",""Benaras session of 1905"",""Calcutta session of 1906""]",multiple choice,Calcutta session of 1906,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,"Notes:The resolution of Swadeshi was adopted in 1906 Calcutta session of the Indian National Congress. This session was headed by Dada Bhai Naoroji. Prior to this, in Banaras 1905 session, a resolution of boycott of British goods was put forward. However, it was 1906 session at Calcutta in which four resolutions on self-government, boycott movement, Swadeshi and national education were passed by the Congress. Dadabhai Naoroji said in his presidential speech: “we do not ask for favours we want only justice. Instead of going into any further divisions or details of our rights as British citizens the whole matter can be comprised in one word – self-government or Swaraj like that of the United Kingdom or colonies.”"
modern indian history freedom struggle,"By which of the following for the first time, British government recognized the “Right of Dominion” for India?","[""August Declaration"",""August Offer"",""Cripps Mission"",""Montague Declaration""]",multiple choice,Cripps Mission,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,Notes:The Cripps mission came to India in March 1942. The mission was headed by a Sir Stafford Cripps. The mission was sent to negotiate an agreement with the nationalist Congress leaders. The mission asked India to keep loyalty to the British war effort and promised of elections and full self-government or Dominion status after the cessation of the World War II.
modern indian history freedom struggle,Who among the following was the first Indian to get selected in ICS (Indian Civil Services)?,"[""Ras Bihari Bose"",""Satyendra Nath Tagore"",""Devendranath Tagore"",""Surendranath Banerjee""]",multiple choice,Satyendra Nath Tagore,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,"Notes:Satyendranath Tagore was selected for the Indian Civil Service in June, 1863. He completed his probationary training and returned to India in November 1864. He was posted as Judge, Satara after this examination."
modern indian history freedom struggle,William Digby is known to write on which of the aspects of India ?,"[""Indian education"",""Indian society"",""Famines in India"",""Poverty in India""]",multiple choice,Famines in India,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,"Notes:Digby was based in India during British raj and witnessed to several famines that devastated India, including a disastrous famine in Madras in the mid-1870s. He blamed British policies for fueling and exacerbating the famines, agitating for humanitarian aid from Europe to India"
modern indian history freedom struggle,During tenure of which of the following all high Indian officials were dismissed and all posts worth more than £500 a year were reserved for Europeans?,"[""Lord Dalhousie"",""Lord Curzon"",""Lord Wellesley"",""Lord Cornwallis""]",multiple choice,Lord Cornwallis,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,Notes:He is known for beginning of Indian Civil Service and Europeanization of Higher postings
modern indian history freedom struggle,"In which year, the custom duties were completely waived for the trade for East India Company?","[""1711"",""1715"",""1717"",""1720""]",multiple choice,1717,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,"Notes:Mughal Emperor Farrukhsiyar granted a forman to the East India Company, which is regarded as Magna Carta in the year 1717. As per the Farman the import and export duty of the company was exempted from the customs duty. Issuing of Dastak was permitted for transportation of goods. Levy of all duties were exempted in Surat for a payment of Rs. 10,000 annually."
modern indian history freedom struggle,"At which among the following places, Jayaprakash Narayan had convened the first All India Congress Socialists Conference in 1934?","[""Lucknow"",""Patna"",""Gaya"",""Kolkata""]",multiple choice,Patna,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,"Notes:Jayaprakash Narayan (The People’s Leader or Lok Nayak) was an independence activist, socialist and political leader of India. He organized a meeting in Patna on 17th May 1934. Bihar Congress Socialist Party was founded in that meeting."
modern indian history freedom struggle,What was the immediate cause of the Revolt of 1857?,"[""Heavy taxation on Indian products"",""Introduction of enfield guns"",""Annexation of Oudh"",""Demolition of traditional handicrafts that hit poor peasants and artisians""]",multiple choice,Introduction of enfield guns,,https://www.gktoday.in/quizbase/modern-indian-history-freedom-struggle,Notes:The immediate cause of the Revolt of 1857 was the introduction of Enfield rifles whose cartidges were said to have greased cover made of beef and pork sparked off the revolt.
world geography,The Buran wind blows across:,"[""Eastern Asia"",""Western Europe"",""Southern Africa"",""Eastern Australia""]",multiple choice,Eastern Asia,,https://www.gktoday.in/quizbase/world-geography,"Notes: The buran wind blows across eastern Asia, specifically Xinjiang, Siberia, and Kazakhstan. The buran takes two forms: in summer, it is a hot, dry wind, whipping up sandstorms; in winter, it is bitterly cold and often accompanied by blizzards."
world geography,Which of the following statements is incorrect about the Planet Mars?,"[""It has two permanent polar ice caps"",""After the Moon, it is the brightest object in our night sky"",""Liquid water cannot exist on the surface of Mars due to low atmospheric pressure"",""Mars is less dense than Earth""]",multiple choice,"After the Moon, it is the brightest object in our night sky",,https://www.gktoday.in/quizbase/world-geography,Notes:Second statement is incorrect because Venus is the second brightest object in our night sky after Moon.
world geography,Systematic approach is one of the major approach to study geography,"[""Eratosthenese"",""Ptolemy"",""Alexander Von Humboldt"",""Karl Ritter""]",multiple choice,Alexander Von Humboldt,,https://www.gktoday.in/quizbase/world-geography,"Notes:Geography is studied majorly by using two approaches
1. Systematic approach
2. Regional approach
Systematic geography approach was introduced by German Geographer Alexander Von Humboldt where as regional geography approach was introduced by another German geographer Karl Ritter
•	Any phenomenon of geography in systematic approach is studied world over as a whole, and then the identification of typologies or spatial patterns is done.•	In the regional approach, the world is divided into regions at different hierarchical levels and then all the geographical phenomena in a particular region are studied"
world geography,Which of the following rocks are known as Primary rocks?,"[""Igneous Rocks"",""Metamorphic Rocks"",""Sedimentary Rocks"",""None of the above""]",multiple choice,Igneous Rocks,,https://www.gktoday.in/quizbase/world-geography,Notes:All the rocks are derived from igneous rocks which are formed by the solidification of hot molten material called magma or lava. Therefore igneous rocks are also called as primary rocks or parent rocks.
world geography,Who was the first to observe Saturn with a telescope?,"[""Galileo Galilei"",""Issac Newton"",""Jacques Cassini"",""David H. Levy""]",multiple choice,Galileo Galilei,,https://www.gktoday.in/quizbase/world-geography,Notes:Saturn has been known to us because it is easily visible to the naked eye. Galileo Galilei was the first to observe Saturn with a telescope in 1610.
world geography,Which among the lines is a boundary between France & Germany ?,"[""Siegfried Line"",""Senger Line"",""KW-line"",""49th Parallel""]",multiple choice,Siegfried Line,,https://www.gktoday.in/quizbase/world-geography,Notes:The Siegfried Line was a German defensive line built during the 1930s opposite the French Maginot Line. It is the boundary between France and Germany.
