topic,ques,options,type,ans,img,URL
biology,Which giraffe legs are the longest,[],answer in one word, Front,,https://www.quiz-questions.net/biology.php
biology,Which animal cleans its teeth after food,[],answer in one word, (It washes its mouth). Tiger,,https://www.quiz-questions.net/biology.php
biology,Which birds have scales on their wings,[],answer in one word, Penguins,,https://www.quiz-questions.net/biology.php
biology,0Which animal has green-colored fat,[],answer in one word, Crocodile,,https://www.quiz-questions.net/biology.php
biology,1What is the largest spider in the world,[],answer in one word, Goliath birdeater (spider).,,https://www.quiz-questions.net/biology.php
biology,3Which shark has its eyes located 2 m apart,[],answer in one word, Hammerhead  shark,,https://www.quiz-questions.net/biology.php
biology,6What is the largest lizard in the world,[],answer in one word, Komodo dragon,,https://www.quiz-questions.net/biology.php
biology,7What is the largest predator in the world,[],answer in one word,Polar bear,,https://www.quiz-questions.net/biology.php
biology,8What is the largest butterfly in the world,[],answer in one word, White witch,,https://www.quiz-questions.net/biology.php
biology,3Where does a camel store its water,[],answer in one word, In its blood,,https://www.quiz-questions.net/biology.php
biology,4Do snails have teeth,[],answer in one word," Yes, a snail has 135 rows of teeth",,https://www.quiz-questions.net/biology.php
dinosaurs,What does the word dinosaur mean in Greek,[],answer in one word,Fearful lizard,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,Trilobites are the closest “relatives” of which fish,[],answer in one word,Crayfish,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,Stegocephalus is a representative of which kind of animal,[],answer in one word,Amphibians,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,"Which period is characterized by thick forests formed by giant ferns, puzzlegrass and clubmoss",[],answer in one word, Carboniferous period,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,When did dinosaurs become extinct,[],answer in one word,Approximately 65 million years ago,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,Birds and mammals evolved from which group of animals,[],answer in one word,Reptiles,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,0The plesiosaurus was an ancient reptile. What ability did it have,[],answer in one word,Ability to swim,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,4The name of which dinosaur means “triple horned”,[],answer in one word,Triceratops,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,5When did the life of earth begin according to scientists,[],answer in one word,Approximately 3.5 billion years ago,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,6Dinichtys is a representative of which group of animals,[],answer in one word,Fish,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,7When did ancient reptiles begin to thrive,[],answer in one word,"Approximately 350,000 years ago",,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,8During which period did dinosaurs thrive,[],answer in one word,Jurassic period,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,9Pterosaurus was an ancient reptile. Which ability did it have,[],answer in one word,Ability to fly,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,0Ichtiosaurus was an ancient reptile. Which ability did it have,[],answer in one word,Ability to swim,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,1During which era did dinosaurs dominate the world,[],answer in one word,Mesozoic era,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,2For how many years did dinosaurs dominate the Earth,[],answer in one word, 160 million years,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,3Which natural phenomenon caused an evolutionary explosion among reptiles,[],answer in one word, Global warming,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,4What is called the most ancient species of dinosaurs known to man,[],answer in one word,Staurikosaurus ,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,5Which dinosaur was larger than the tyrannosaurus,[],answer in one word,Spinosaurus ,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,6Which dinosaurs did have feathers,[],answer in one word,Caudipteryx,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,7The first dinosaur eggs were discovered in 1859. Which dinosaur did they belong to,[],answer in one word,Hypselosaurus,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,8Whic dinosaur was discovered in the Antarctic,[],answer in one word,Ankylosaurus,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,9To which dinosaur does the largest skull belong,[],answer in one word,Torosaurus,,https://www.quiz-questions.net/dinosaurs.php
dinosaurs,0The biggest Canivorous dinosaur is,[],answer in one word,Spinosaurus,,https://www.quiz-questions.net/dinosaurs.php
economy,What used to be the currency of Italy,[],answer in one word,Lira,,https://www.quiz-questions.net/economy.php
economy,In what country was pesetas the currency,[],answer in one word,Spain,,https://www.quiz-questions.net/economy.php
economy,Which country is the largest producer of olive oil,[],answer in one word,Spain,,https://www.quiz-questions.net/economy.php
economy,What is the world s largest office building,[],answer in one word,Pentagon,,https://www.quiz-questions.net/economy.php
economy,Which currency is at home on the Johannesburg Stock Exchange,[],answer in one word,South African rand,,https://www.quiz-questions.net/economy.php
economy,What is the main component in glass,[],answer in one word,Sand,,https://www.quiz-questions.net/economy.php
economy,Which country is the origin of the car brands Daewoo and Kia,[],answer in one word,South Korea,,https://www.quiz-questions.net/economy.php
economy,Where does a car with the letters CH come from,[],answer in one word,Switzerland,,https://www.quiz-questions.net/economy.php
economy,What is the national currency of Albania,[],answer in one word,Albanese lek,,https://www.quiz-questions.net/economy.php
economy,0What is the national airline of Australia,[],answer in one word,Qantas,,https://www.quiz-questions.net/economy.php
economy,1In which military camp is the US gold reserve stored,[],answer in one word,Fort Knox,,https://www.quiz-questions.net/economy.php
economy,2What is the national currency of Laos,[],answer in one word,Laos Kip ,,https://www.quiz-questions.net/economy.php
economy,3Which prehistoric animal does also indicate a large tanker,[],answer in one word,Mammoth,,https://www.quiz-questions.net/economy.php
economy,4What is the brand of the oldest sewing machines,[],answer in one word,Singer,,https://www.quiz-questions.net/economy.php
economy,5Where was built the first subway,[],answer in one word,In London,,https://www.quiz-questions.net/economy.php
economy,6Between which two places did the first railway track in the UK run,[],answer in one word,Stockton to Darlington,,https://www.quiz-questions.net/economy.php
economy,7In which country is Varig Airlines based,[],answer in one word,Brazil,,https://www.quiz-questions.net/economy.php
economy,8What is Pakistan s currency,[],answer in one word,Rupee,,https://www.quiz-questions.net/economy.php
economy,9How many digits does an IBAN number consist of,[],answer in one word,Fourteen digits,,https://www.quiz-questions.net/economy.php
economy,0What is the official currency in Nepal,[],answer in one word,Rupee,,https://www.quiz-questions.net/economy.php
economy,1Which Japanse car brand did exist from 1932 until 1983,[],answer in one word,Datsun,,https://www.quiz-questions.net/economy.php
economy,2What is the biggest oil company in the United States,[],answer in one word,Exxon Mobil,,https://www.quiz-questions.net/economy.php
economy,3Which company was establised in the year 1962 by Sam Walton and is one of the biggest employers in the world,[],answer in one word,Walmart,,https://www.quiz-questions.net/economy.php
economy,4Which Italian family is in charge of FIAT,[],answer in one word,Agnelli,,https://www.quiz-questions.net/economy.php
economy,5What was the currency of Greece before the introduction of the EURO,[],answer in one word,Drachme,,https://www.quiz-questions.net/economy.php
film,How many oscars did the Titanic movie got,[],answer in one word,Eleven,,https://www.quiz-questions.net/film.php
film,How many Tomb Raider movies were made,[],answer in one word,Two movies,,https://www.quiz-questions.net/film.php
film,Which malformation did Marilyn Monroe have when she was born,[],answer in one word,Six toes,,https://www.quiz-questions.net/film.php
film,What is the house number of the Simpsons,[],answer in one word,Number 742,,https://www.quiz-questions.net/film.php
film,What is the name of the prison in the film The Rock,[],answer in one word,Alcatraz,,https://www.quiz-questions.net/film.php
film,Who is the protagonist in the Last Action Hero film,[],answer in one word,Arnold Schwarzenegger,,https://www.quiz-questions.net/film.php
film,What is the pseudonym of Allen Stewart Koningsberg,[],answer in one word,Woody Allen,,https://www.quiz-questions.net/film.php
film,What is the name of the little dragon in the animated movie Mulan,[],answer in one word,Mushu,,https://www.quiz-questions.net/film.php
film,Which actor does play Sonny Crockett in Miami Vice 2006,[],answer in one word,Colin Farell,,https://www.quiz-questions.net/film.php
film,0Who is the director of Reservoir Dogs,[],answer in one word,Quentin Tarantino,,https://www.quiz-questions.net/film.php
film,1Who is the director of the X-files,[],answer in one word,Rob Bowman,,https://www.quiz-questions.net/film.php
film,2Who was the male protagonist in The Horse Wisperer,[],answer in one word,Robert Redford,,https://www.quiz-questions.net/film.php
film,3Who did play the role of Peter Pan in the Peter Pan movie,[],answer in one word,Robin Williams,,https://www.quiz-questions.net/film.php
film,4Which Italian film director is considered as the father of the spaghetti western,[],answer in one word,Sergio Leone,,https://www.quiz-questions.net/film.php
film,5What number is on Herbie the beatle,[],answer in one word,Fifty-three,,https://www.quiz-questions.net/film.php
film,7What is the name of the bald commander of the Enterprise in Star Trek,[],answer in one word,Captain Picard,,https://www.quiz-questions.net/film.php
film,8What is the name of Steven Spielberg s black-and-white-film about the second world war,[],answer in one word,Schindler s List,,https://www.quiz-questions.net/film.php
film,9Who was the leading actress in Sister act I en II ,[],answer in one word,Whoopi Goldberg,,https://www.quiz-questions.net/film.php
film,0What is the profession of Popeye,[],answer in one word,Seaman,,https://www.quiz-questions.net/film.php
film,1Who was the director of the movie The Piano,[],answer in one word,Jane Campion,,https://www.quiz-questions.net/film.php
film,2Who was Mozart s great rival in Amadeus movie,[],answer in one word,Antonio Salieri,,https://www.quiz-questions.net/film.php
film,3Which French woman was the most famous actress in the world in the late 19th and early 20th century,[],answer in one word,Sarah Bernhardt,,https://www.quiz-questions.net/film.php
film,4Who played the lead role in the movie Scarface in 1983,[],answer in one word,Al Pacino,,https://www.quiz-questions.net/film.php
film,"5Who played Che Guevara in the movie ""Evita""",[],answer in one word,Antonio Banderas,,https://www.quiz-questions.net/film.php
food,What color is the French wine Beaujolais,[],answer in one word,Red color,,https://www.quiz-questions.net/food.php
food,What should you do in the Arab countries to show that the food was delicious,[],answer in one word,Belch,,https://www.quiz-questions.net/food.php
food,Which nuts are used in marzipan,[],answer in one word,Almonds,,https://www.quiz-questions.net/food.php
food,From which cactus is tequila made,[],answer in one word,Agave,,https://www.quiz-questions.net/food.php
food,From which country does pitta bread originate,[],answer in one word,Greece,,https://www.quiz-questions.net/food.php
food,Which country is the origin of the cocktail Mojito,[],answer in one word,Cuba,,https://www.quiz-questions.net/food.php
food,How many calories does a glass of water contain,[],answer in one word,Zero calories,,https://www.quiz-questions.net/food.php
food,What is the well known drink from Greece,[],answer in one word,Ouzo,,https://www.quiz-questions.net/food.php
food,What is called a meal in open air,[],answer in one word,Picnic,,https://www.quiz-questions.net/food.php
food,0Which cheese is traditionally used for pizzas,[],answer in one word,Mozzarella,,https://www.quiz-questions.net/food.php
food,1Which country is the origin of the Stella beer,[],answer in one word,Belgium,,https://www.quiz-questions.net/food.php
food,2From which country is the famous Emmental Cheese,[],answer in one word,Switzerland,,https://www.quiz-questions.net/food.php
food,3What is the most famous Mexican beer,[],answer in one word,Corona,,https://www.quiz-questions.net/food.php
food,4What is the name of the gas that let rise bread dough,[],answer in one word,Carbon dioxide,,https://www.quiz-questions.net/food.php
food,5What is Japanese sake made from,[],answer in one word,Rice,,https://www.quiz-questions.net/food.php
food,6What is bottled a lot in the French town Vichy,[],answer in one word,Water,,https://www.quiz-questions.net/food.php
food,7Which French town is known for its mustard,[],answer in one word,Dijon,,https://www.quiz-questions.net/food.php
food,8 What is the chemical formula for Table Salt,[],answer in one word,NaCl,,https://www.quiz-questions.net/food.php
food,9What beer is marketed as The king of beers,[],answer in one word,Budweiser,,https://www.quiz-questions.net/food.php
food,0What is the name of the pan in which one makes paella,[],answer in one word,Paella (Paella means pan),,https://www.quiz-questions.net/food.php
food,1With which fruit is Kriek beer (a Belgium brew) is flavoured,[],answer in one word,Cherries,,https://www.quiz-questions.net/food.php
food,2What is the real meaning of the Greek word Pita,[],answer in one word,Bread,,https://www.quiz-questions.net/food.php
food,3What is the Hungarian word for pepper,[],answer in one word,Paprika,,https://www.quiz-questions.net/food.php
food,4What is a banana called in Malaysia,[],answer in one word,Pisang,,https://www.quiz-questions.net/food.php
food,5What is the most famous beer in Ireland,[],answer in one word,Guiness,,https://www.quiz-questions.net/food.php
food,6What kind of food is Manchego from Spain,[],answer in one word,Cheese,,https://www.quiz-questions.net/food.php
food,7Which country does the Peroni beer come from,[],answer in one word,Italy,,https://www.quiz-questions.net/food.php
food,8Which famous brewer from Amsterdam did die in the year 2002,[],answer in one word,Heineken,,https://www.quiz-questions.net/food.php
food,9Which vitamin is the only one that you will not find in an egg,[],answer in one word,Vitamin C,,https://www.quiz-questions.net/food.php
food,0What is the only ingredient that is not found anywhere except India ,[],answer in one word,Coriander,,https://www.quiz-questions.net/food.php
food,1Which nuts are used in marzipan,[],answer in one word,Almonds,,https://www.quiz-questions.net/food.php
food,2Which fruit is also a animal,[],answer in one word,Kiwi,,https://www.quiz-questions.net/food.php
vegetables,Which vegetable can be sweet or bitter,[],answer in one word,Pepper,,https://www.quiz-questions.net/vegetables.php
vegetables,Which vegetable is used to make ketchup,[],answer in one word,Tomato,,https://www.quiz-questions.net/vegetables.php
vegetables,What is the largest vegetable,[],answer in one word,Pumpkin,,https://www.quiz-questions.net/vegetables.php
vegetables,Where did tomatoes originate from,[],answer in one word, America,,https://www.quiz-questions.net/vegetables.php
vegetables,What are wild onions called,[],answer in one word, Bear s leek,,https://www.quiz-questions.net/vegetables.php
vegetables,0Which vegetable makes your eyes tear when you peel it,[],answer in one word,Onion,,https://www.quiz-questions.net/vegetables.php
vegetables,1What is another name for passion fruit,[],answer in one word,Maracuya,,https://www.quiz-questions.net/vegetables.php
vegetables,2Which fruit tree is considered to be sacred in India,[],answer in one word, Mango,,https://www.quiz-questions.net/vegetables.php
vegetables,"3Which fruits, also called “Indian apples”, were imported into Europe by Alexander the Great’s warriors",[],answer in one word,Lemons,,https://www.quiz-questions.net/vegetables.php
vegetables,4In which year did plants began to be classified into fruits and vegetables,[],answer in one word, 1705,,https://www.quiz-questions.net/vegetables.php
vegetables,5How do pineapples grow,[],answer in one word, On the ground,,https://www.quiz-questions.net/vegetables.php
vegetables,6Which region produces the most apples,[],answer in one word,Central Asia,,https://www.quiz-questions.net/vegetables.php
vegetables,"7How long was the longest apple peel, recorded in the Guinness Book of Records",[],answer in one word, 52 meters,,https://www.quiz-questions.net/vegetables.php
general-knowledge,What is the name of the German airline,[],answer in one word,Lufthansa,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,In which European city can you find the home of Anne Frank,[],answer in one word,Amsterdam,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,How many stars has the American flag got,[],answer in one word,Fifty,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,How long is the Great Wall of China,[],answer in one word,4000 miles,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,Who invented Ferrari,[],answer in one word,Enzo Ferrari,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,"According to the Bible, who was the first murderer",[],answer in one word,Cain,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,Which two months are named after Roman emperors,[],answer in one word,July and August,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,In what year did princess diana die,[],answer in one word,In the year 1997,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,Which famous British women murderer of the 19th century was never arrested,[],answer in one word,Jack the Ripper,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,0On which mountain did Jesus take his last supper,[],answer in one word,Golgotha or Calvary,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,1What is the largest number of five digits,[],answer in one word,99999,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,2What is the most fractured human bone,[],answer in one word,Clavicle,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,3What is the most famous university of Paris,[],answer in one word,Sorbonne,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,4Which animal is on the golden Flemish flag,[],answer in one word,Lion,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,5What is the name of the Indian holy river,[],answer in one word,Ganges,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,6Which South American country is named after Venice,[],answer in one word,Venezuela,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,7How many stars feature on the flag of New Zealand,[],answer in one word,Four stars,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,8What colour to do you get when you mix red and white,[],answer in one word,Pink,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,9What is both a French wine region and a luxury American automobile,[],answer in one word,Cadillac,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,0For which narrow sea strait is Hellespont the ancient name,[],answer in one word,Dardanelles,,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,1What is the capital of USA,[],answer in one word,"Washington, D.C",,https://www.quiz-questions.net/general-knowledge.php
general-knowledge,2Who is the largest toy distributor in the world ,[],answer in one word,McDonalds,,https://www.quiz-questions.net/general-knowledge.php
geography,What is the capital of Turkey,[],answer in one word,Ankara,,https://www.quiz-questions.net/geography.php
geography,What is the national animal of China,[],answer in one word,Giant panda,,https://www.quiz-questions.net/geography.php
geography,Which Turkish city has the name of a cartoon character,[],answer in one word,Batman,,https://www.quiz-questions.net/geography.php
geography,What is the noisiest city in the world,[],answer in one word,Hong Kong,,https://www.quiz-questions.net/geography.php
geography,What is the name of the desert area in Mexico,[],answer in one word,Sonora,,https://www.quiz-questions.net/geography.php
geography,What is a very cold part of Russia,[],answer in one word,Siberia,,https://www.quiz-questions.net/geography.php
geography,How many continents are there,[],answer in one word,Seven,,https://www.quiz-questions.net/geography.php
geography,On which Italian island is Palermo,[],answer in one word,Sicily,,https://www.quiz-questions.net/geography.php
geography,How many time zones are there in the world,[],answer in one word,Twenty-four,,https://www.quiz-questions.net/geography.php
geography,0Which is the largest desert on earth,[],answer in one word,Sahara,,https://www.quiz-questions.net/geography.php
geography,1Which river is flowing through Rome,[],answer in one word,Tiber,,https://www.quiz-questions.net/geography.php
geography,2Which country did once have the name Rhodesia,[],answer in one word,Zimbabwe,,https://www.quiz-questions.net/geography.php
geography,"3What island, which belonged to Denmark, was independent in 1944",[],answer in one word,Iceland,,https://www.quiz-questions.net/geography.php
geography,4What is the largest state of the United States,[],answer in one word,Alaska,,https://www.quiz-questions.net/geography.php
geography,5On which continent can you visit Sierra Leone,[],answer in one word,Africa,,https://www.quiz-questions.net/geography.php
geography,6Which European river does flow through six different countries,[],answer in one word,Donau river,,https://www.quiz-questions.net/geography.php
geography,7What is the longest river in Europe,[],answer in one word,Wolga river,,https://www.quiz-questions.net/geography.php
geography,8Through which capital does the Liffey river flow,[],answer in one word,Dublin,,https://www.quiz-questions.net/geography.php
geography,9What is the second largest country in Europe after Russia,[],answer in one word,France,,https://www.quiz-questions.net/geography.php
geography,0What is the capital of the American state Hawaii,[],answer in one word,Honolulu,,https://www.quiz-questions.net/geography.php
geography,1What do the Japanese people call their own country,[],answer in one word,Nippon,,https://www.quiz-questions.net/geography.php
geography,2In which country is Krakow located,[],answer in one word,Poland,,https://www.quiz-questions.net/geography.php
geography,3What is the largest city in Canada,[],answer in one word,Toronto,,https://www.quiz-questions.net/geography.php
geography,4What is the capital city of Australia ,[],answer in one word,Canberra,,https://www.quiz-questions.net/geography.php
geography,5Which two seas are joined by the Suez Canal,[],answer in one word,The Mediterranean Sea and the Red Seas,,https://www.quiz-questions.net/geography.php
geography,6Which is Biggest country in the world ,[],answer in one word,Russia ,,https://www.quiz-questions.net/geography.php
geography,7What is Scotlands National Animal,[],answer in one word,A Unicorn,,https://www.quiz-questions.net/geography.php
geography,8What is the longest river,[],answer in one word,The Nile,,https://www.quiz-questions.net/geography.php
geography,9What is the smallest country in the world,[],answer in one word,Vatican city,,https://www.quiz-questions.net/geography.php
history,Which German Count invented the zeppelin,[],answer in one word,Count (Von) Zeppelin,,https://www.quiz-questions.net/history.php
history,Who was the first president of the USA,[],answer in one word,George Washington,,https://www.quiz-questions.net/history.php
history,Who was the second president of the United States,[],answer in one word,John Adams,,https://www.quiz-questions.net/history.php
history,How many women did Henry VIII have,[],answer in one word,Six women,,https://www.quiz-questions.net/history.php
history,In which city was the Titanic built,[],answer in one word,Belfast,,https://www.quiz-questions.net/history.php
history,What was the name of Napoleon s first wife,[],answer in one word,Josephine,,https://www.quiz-questions.net/history.php
history,Which city became capital of West-Germany in 1949,[],answer in one word,Bonn,,https://www.quiz-questions.net/history.php
history,On which island was Napoleon born,[],answer in one word,Corsica,,https://www.quiz-questions.net/history.php
history,How many children did Queen Victoria have,[],answer in one word,Nine children,,https://www.quiz-questions.net/history.php
history,"0Which war was ended by the signing the armistice on July 27 th, 1953",[],answer in one word,The Korean War,,https://www.quiz-questions.net/history.php
history,1When became Albania an independent country,[],answer in one word," In 1713, 1813 or 1913",,https://www.quiz-questions.net/history.php
history,2Xerxes ruled a great empire around the fifth century BC. Which empire,[],answer in one word,The Persian empire,,https://www.quiz-questions.net/history.php
history,3Which French king was called the Sun King,[],answer in one word,Louis XIV,,https://www.quiz-questions.net/history.php
history,4What was in England the northern frontier of the Roman Empire,[],answer in one word,Hadrian s wall,,https://www.quiz-questions.net/history.php
history,5Which German war criminal was for 21 years the only inmate of Spandau complex,[],answer in one word,Rudolf Hess,,https://www.quiz-questions.net/history.php
history,6Who discovered Greenland,[],answer in one word,Erik de Rode,,https://www.quiz-questions.net/history.php
history,7Which Mexican rebel was shot in 1923 and died,[],answer in one word,Pancho Villa,,https://www.quiz-questions.net/history.php
history,8Which building in Athens was destroyed by a Venetian cannon ball in the 17th century,[],answer in one word,Parthenon,,https://www.quiz-questions.net/history.php
history,9What was the name of the Protestant revolution against the domination of the Pope,[],answer in one word,Reformation,,https://www.quiz-questions.net/history.php
history,0Who was the first king of Belgium ,[],answer in one word,Leopold I,,https://www.quiz-questions.net/history.php
history,1What was the former name of New York,[],answer in one word,New Amsterdam,,https://www.quiz-questions.net/history.php
history,2Which country was formerly called Ceylon,[],answer in one word,Sri Lanka,,https://www.quiz-questions.net/history.php
